id,source,text,cluster,distance
XA1C6D6B906412C,IRS,"WASHINGTON — The Internal Revenue Service, in response to disruptions resulting from Hurricane Ian, will not impose a penalty when dyed diesel fuel with a sulfur content that does not exceed 15 parts-per-million is sold for use or used by emergency vehicles on the highway in the state of Florida.

This relief begins on September 28, 2022, and will remain in effect through October 19, 2022.

This penalty relief is available to any person that sells or uses dyed diesel fuel in an emergency vehicle for highway use. In the case of the operator of the emergency vehicle in which the dyed diesel fuel is used, the relief is available only if the operator or the person selling such fuel pays the tax of 24.4 cents per gallon that is normally applied to diesel fuel for highway use.

The IRS will not impose penalties for failure to make semimonthly deposits of tax for dyed diesel fuel sold for use or used in an emergency vehicle on the highway in the state of Florida during the relief period. IRS Publication 510, Excise Taxes, has information on the proper method for reporting and paying the tax.

Ordinarily, dyed diesel fuel is not taxed, because it is sold for uses exempt from excise tax, such as to farmers for farming purposes, for home heating use, and to local governments.

The IRS is closely monitoring the situation and will provide additional relief as needed.",0,8.501063088463424
X76498E20C0D372,IRS,"WASHINGTON — The Treasury Department and the Internal Revenue Service today issued guidance that provides relief to individuals and businesses affected by travel disruptions arising from the COVID-19 emergency.

The guidance includes the following:

Revenue Procedure 2020-20PDF, which provides that, under certain circumstances, up to 60 consecutive calendar days of U.S. presence that are presumed to arise from travel disruptions caused by the COVID-19 emergency will not be counted for purposes of determining U.S. tax residency and for purposes of determining whether an individual qualifies for tax treaty benefits for income from personal services performed in the United States;
 
Revenue Procedure 2020-27 PDF, which provides that qualification for exclusions from gross income under I.R.C. section 911 will not be impacted as a result of days spent away from a foreign country due to the COVID-19 emergency based on certain departure dates; and
 
An FAQ, which provides that certain U.S. business activities conducted by a nonresident alien or foreign corporation will not be counted for up to 60 consecutive calendar days in determining whether the individual or entity is engaged in a U.S. trade or business or has a U.S. permanent establishment, but only if those activities would not have been conducted in the United States but for travel disruptions arising from the COVID-19 emergency.
The Treasury Department and the IRS are continuing to monitor these and other issues related to the COVID-19 emergency, and updated information about relief will continue to be posted on Coronavirus Tax Relief on IRS.gov.",0,8.623955307678182
X8F6AE5407A8934,IRS,"WASHINGTON — The IRS issued a notice today announcing relief for certain retirement plans that do not have a written plan in place by January 1, 2009. The new guidance is for retirement plans covering employees at public schools, colleges and universities, and other tax exempt organizations. These retirement plans are often referred to as 403(b) plans after the relevant section in the tax code.

The IRS is extending the deadline for plan sponsors to adopt new written plans or amend existing plans to satisfy the requirement of the final 403(b) regulations because of difficulties expressed by numerous plan administrators in meeting the current deadline of January 1, 2009.  This extension will give plan sponsors additional time to put their plan documents in place.

The IRS will treat these plans as meeting the requirements of 403(b) and the regulations during the 2009 calendar year if:

By December 31, 2009, the plan sponsor of the plan has adopted a written 403(b) plan that is intended to satisfy the requirements of 403(b) and the regulations.
During 2009, the plan sponsor operates the plan in accordance with a reasonable interpretation of 403(b) and the related regulations.
By the end of 2009, the plan sponsor makes its best effort to retroactively correct any operational failure during the 2009 calendar year to conform to the written plan.
The IRS plans to issue further guidance on 403(b) plans, including a revenue procedure establishing programs for 403(b) plans to obtain IRS approval of the plan document and allowing these plans to make remedial amendments to retroactively fix plan provisions under rules that similar to those that apply for 401(a) qualified plans. 

Notice 2009-3PDF is available on IRS.gov.",0,12.146139581881583
X3776BE87ACA078,IRS,"WASHINGTON — The Internal Revenue Service announced today that taxpayers who qualify for the first-time homebuyer credit and purchase a home this year before Dec. 1 have a special option available for claiming the tax credit either on their 2008 tax returns due April 15 or on their 2009 tax returns next year.

Qualifying taxpayers who buy a home this year before Dec. 1 can get up to $8,000, or $4,000 for married filing separately.

“For first-time homebuyers this year, this special feature can put money in their pockets right now rather than waiting another year to claim the tax credit,"" said IRS Commissioner Doug Shulman. “This important change gives qualifying homebuyers cash they do not have to pay back.”

The IRS has posted a revised version of Form 5405, First-Time Homebuyer Credit, on IRS.gov. The revised form incorporates provisions from the American Recovery and Reinvestment Act of 2009. The instructions to the revised Form 5405 provide additional information on who can and cannot claim the credit, income limitations and repayment of the credit.

This year, qualifying taxpayers who buy a home before Dec. 1, 2009, can claim the credit on either their 2008 or 2009 tax returns. They do not have to repay the credit, provided the home remains their main home for 36 months after the purchase date. They can claim 10 percent of the purchase price up to $8,000, or $4,000 for married individuals filing separately.

The amount of the credit begins to phase out for taxpayers whose adjusted gross income is more than $75,000, or $150,000 for joint filers.

For purposes of the credit, you are considered to be a first-time homebuyer if you, and your spouse if you are married, did not own any other main home during the three-year period ending on the date of purchase.

The IRS also alerted taxpayers that the new law does not affect people who purchased a home after April 8, 2008, and on or before Dec. 31, 2008. For these taxpayers who are claiming the credit on their 2008 tax returns, the maximum credit remains 10 percent of the purchase price, up to $7,500, or $3,750 for married individuals filing separately. In addition, the credit for these 2008 purchases must be repaid in 15 equal installments over 15 years, beginning with the 2010 tax year.",0,7.17049440537492
XDEB2C3D167A879,IRS,"WASHINGTON — The Internal Revenue Service today issued regulations outlining the administration of a 10-percent excise tax on indoor tanning services that goes into effect on July 1.

The regulationsPDF were published today in the Federal Register.

In general, providers of indoor tanning services will collect the tax at the time the purchaser pays for the tanning services. The provider then pays over these amounts to the government, quarterly, along with IRS Form 720, Quarterly Federal Excise Tax Return.

The tax does not apply to phototherapy services performed by a licensed medical professional on his or her premises. The regulations also provide an exception for certain physical fitness facilities that offer tanning as an incidental service to members without a separately identifiable fee.

The IRS and Treasury Department invite comments.

Send submissions to: CC:PA:LPD:PR (REG-112841-10), Room 5203, Internal Revenue Service, PO Box 7604, Ben Franklin Station, Washington, DC 20044.

Submissions may be hand-delivered to: CC:PA:LPD:PR Monday through Friday between the hours of 8 a.m. and 4 p.m. to: CC:PA:LPD:PR (REG-112841-10), Courier’s Desk, Internal Revenue Service, 1111 Constitution Avenue, NW, Washington, DC.

Submissions may be sent electronically via the Federal eRulemaking Portal at www.regulations.gov (REG-112841-10).",3,9.650867066823775
X8B72D1F2BEB2C3,IRS,"WASHINGTON — The Internal Revenue Service today warned return preparers and other tax professionals to be on guard against bogus emails making the rounds seeking updated personal or professional information that in reality are phishing schemes.

“I urge taxpayers to be wary of clicking on strange emails and websites,” said IRS Commissioner John Koskinen. “They may be scams to steal your personal information.”

Specifically, the bogus email asks tax professionals to update their IRS e-services portal information and Electronic Filing Identification Numbers (EFINs). The links that are provided in the bogus email to access IRS e-services appear to be a phishing scheme designed to capture your username and password. This email was not generated by the IRS e-services program. Disregard this email and do not click on the links provided.

Phishing made this year’s Dirty Dozen list of IRS tax scams. The full list is available on IRS.gov.

Phishing is a scam typically carried out with the help of unsolicited email or a fake website that poses as a legitimate site to lure in potential victims and prompt them to provide valuable personal and financial information. Armed with this information, a criminal can commit identity theft or financial theft.

If you receive an unsolicited email that appears to be from either the IRS or an organization closely linked to the IRS, such as the Electronic Federal Tax Payment System, report it by sending it to phishing@irs.gov.

In general, the IRS has added and strengthened protections in our processing systems this filing season to protect the nation's taxpayers. For this tax season, we continue to make important progress in stopping identity theft and other fraudulent refunds.

It is important to keep in mind the IRS generally does not initiate contact with taxpayers by email to request personal or financial information. This includes any type of electronic communication, such as text messages and social media channels. The IRS has information online that can help you protect yourself from email scams.",0,9.253706917791533
X892ACDB74E0973,IRS,"WASHINGTON —The Internal Revenue Service today made it easier for small business owners to comply with the final tangible property regulations.

Requested by many small businesses and tax professionals, the simplified procedure is available beginning with the 2014 return taxpayers are filling out this tax season. The new procedure allows small businesses to change a method of accounting under the final tangible property regulations on a prospective basis for the first taxable year beginning on or after Jan. 1, 2014.

Also, the IRS is waiving the requirement to complete and file a Form 3115 for small business taxpayers that choose to use this simplified procedure for 2014.

""We are pleased to be able to offer this relief to small business owners and their tax preparers in time for them to take advantage of it on their 2014 return,” said IRS Commissioner John Koskinen. “We carefully reviewed the comments we received and especially appreciate the valuable feedback provided by the professional tax community on this issue.”

The new simplified procedure is generally available to small businesses, including sole proprietors, with assets totaling less than $10 million or average annual gross receipts totaling $10 million or less. Details are in Revenue Procedure 2015-20PDF, posted today on IRS.gov.

The revenue procedure also requests comment on whether the $500 safe-harbor threshold should be raised for businesses that choose to deduct, rather than capitalize, certain capital expenses. ",0,8.68033705247337
X9A1D9468438744,IRS,"WASHINGTON — The Internal Revenue Service today announced the nationwide rollout of a streamlined program designed to enable small businesses under audit to more quickly settle their differences with the IRS.

The Fast Track Settlement (FTS) program is designed to help small businesses and self-employed individuals who are under examination by the Small Business/Self Employed (SB/SE) Division of the IRS. Modeled on a similar program long available to large and mid-size businesses (those with more than $10 million in assets), FTS uses alternative dispute resolution techniques to help taxpayers save time and avoid a formal administrative appeal or lengthy litigation. As a result, audit issues can usually be resolved within 60 days, rather than months or years. Plus, taxpayers choosing this option lose none of their rights because they still have the right to appeal even if the FTS process is unsuccessful.  

Jointly administered by SB/SE and the IRS Appeals office, FTS is designed to expedite case resolution. Under FTS, taxpayers under examination with issues in dispute work directly with IRS representatives from SB/SE’s Examination Division and Appeals to resolve those issues, with the Appeals representative typically serving as mediator.

The taxpayer or the IRS examination representative may initiate Fast Track for eligible cases, usually before a 30-day letter is issued. The goal is to complete cases within 60 days of acceptance of the application in Appeals.

SB/SE originally launched FTS as a pilot program in September 2006. For more information on taking advantage of the Fast Track Settlement program, please view the short FTS video. Additional background is available on IRS.gov on the Alternative Dispute Resolution web page and in IRS Announcement 2011-05.",0,6.973109792492585
X66B9A90257F367,IRS,"WASHINGTON – The Internal Revenue Service today announced that interest rates for the calendar quarter beginning July 1, 2010, will remain the same. The rates will be: 

four (4) percent for overpayments [three (3) percent in the case of a corporation];
four (4) percent for underpayments;
six (6) percent for large corporate underpayments; and
one and one-half (1.5) percent for the portion of a corporate overpayment exceeding $10,000.
Under the Internal Revenue Code, the rate of interest is determined on a quarterly basis.  For taxpayers other than corporations, the overpayment and underpayment rate is the federal short-term rate plus 3 percentage points. 

Generally, in the case of a corporation, the underpayment rate is the federal short-term rate plus 3 percentage points and the overpayment rate is the federal short-term rate plus 2 percentage points. 

The rate for large corporate underpayments is the federal short-term rate plus 5 percentage points.  The rate on the portion of a corporate overpayment of tax exceeding $10,000 for a taxable period is the federal short-term rate plus one-half (0.5) of a percentage point. 

The interest rates announced today are computed from the federal short-term rate during April 2010 to take effect May 1, 2010, based on daily compounding.

Revenue Ruling 2010-14, announcing the rates of interest, is attached and will appear in Internal Revenue Bulletin No. 2010-26, dated June 28, 2010.",0,11.964237185901995
X542512999CC93B,IRS,"WASHINGTON — Approximately four hundred U.S. colleges and universities will begin receiving compliance questionnaires from the Internal Revenue Service in the next few days as part of the agency’s focused effort to study key areas in the tax-exempt community.  The college and university questionnaire will focus on unrelated business income, endowments and executive compensation practices.  The questionnaires are being sent to a cross-section of small, mid-sized and large private and public four-year colleges and institutions.

Private nonprofit universities are generally exempt from tax under Internal Revenue Code section 501(c)(3) and like state universities are subject to unrelated business income tax. 

“This effort reflects our work to build a better understanding of the largest, most complex organizations in the tax-exempt sector,” said Doug Shulman, IRS commissioner.  “The information gathered will help us identify issues and areas that may need more outreach and education or further scrutiny.”

Among other things, the questionnaire will gather information from the schools about how they report revenues and expenses from their trade or business activities, classify their activities as exempt or taxable activities, and calculate and report income or losses on taxable activities.  The questionnaire also will gather information regarding how the organization invests and uses its endowment funds and determines compensation of certain highly paid individuals.

The IRS said it expects to receive most of the responses within the next several months, analyze the results of the compliance questionnaire and conduct examinations of a sample of the organizations.  The IRS said it expects to issue a report on the project in 2009.",0,7.668806628913033
